아아, 187, 71, 20, 정상
파다, 169, 50, 18, 저체중
나가, 192, 72, 20, 정상
라아, 173, 57, 19, 저체중
아마, 180, 97, 30, 비만
파마, 172, 71, 24, 정상
카파, 177, 71, 23, 정상
다가, 151, 95, 42, 비만
다카, 185, 40, 12, 저체중
카바, 149, 77, 35, 비만
파바, 144, 57, 27, 과체중
다파, 166, 52, 19, 저체중
카가, 140, 91, 46, 비만
라가, 164, 80, 30, 비만
자다, 182, 50, 15, 저체중
바카, 151, 64, 28, 과체중
다타, 197, 55, 14, 저체중
라차, 194, 48, 13, 저체중
차바, 144, 75, 36, 비만
나바, 162, 93, 35, 비만
가타, 196, 71, 18, 저체중
나사, 189, 90, 25, 과체중
파하, 177, 78, 25, 과체중
가타, 141, 87, 44, 비만
마가, 197, 49, 13, 저체중
카마, 160, 42, 16, 저체중
파파, 162, 64, 24, 정상
마타, 198, 60, 15, 저체중
타하, 159, 74, 29, 과체중
나카, 178, 92, 29, 과체중
라마, 148, 56, 26, 과체중
파차, 163, 81, 30, 비만
사다, 151, 78, 34, 비만
파가, 160, 41, 16, 저체중
하차, 147, 90, 42, 비만
나가, 182, 56, 17, 저체중
파차, 155, 53, 22, 정상
마아, 184, 79, 23, 정상
라파, 151, 72, 32, 비만
나사, 199, 79, 20, 정상
하바, 159, 82, 32, 비만
라차, 142, 92, 46, 비만
나차, 162, 45, 17, 저체중
나차, 199, 61, 15, 저체중
사파, 143, 40, 20, 정상
가타, 148, 97, 44, 비만
나하, 189, 52, 15, 저체중
라다, 146, 73, 34, 비만
다아, 158, 58, 23, 정상
파카, 143, 85, 42, 비만
자바, 197, 77, 20, 정상
아다, 158, 52, 21, 정상
다타, 156, 83, 34, 비만
타라, 188, 91, 26, 과체중
자파, 164, 68, 25, 과체중
사라, 164, 61, 23, 정상
바나, 165, 72, 26, 과체중
하나, 160, 50, 20, 정상
차차, 142, 78, 39, 비만
사마, 157, 64, 26, 과체중
바카, 157, 56, 23, 정상
아사, 183, 54, 16, 저체중
아타, 154, 88, 37, 비만
자파, 187, 40, 11, 저체중
마다, 145, 62, 29, 과체중
하마, 190, 44, 12, 저체중
사하, 196, 86, 22, 정상
바다, 177, 77, 25, 과체중
파다, 179, 69, 22, 정상
파다, 150, 45, 20, 정상
사라, 190, 74, 20, 정상
사바, 166, 68, 25, 과체중
바차, 176, 71, 23, 정상
카사, 158, 88, 35, 비만
타아, 184, 43, 13, 저체중
나라, 183, 81, 24, 정상
타다, 157, 47, 19, 저체중
자카, 180, 56, 17, 저체중
가파, 163, 72, 27, 과체중
파카, 193, 59, 16, 저체중
카가, 175, 97, 32, 비만
자나, 157, 89, 36, 비만
마자, 192, 79, 21, 정상
다차, 175, 69, 23, 정상
차마, 178, 74, 23, 정상
타다, 146, 88, 41, 비만
바사, 188, 84, 24, 정상
가나, 196, 51, 13, 저체중
카하, 190, 97, 27, 과체중
나마, 181, 64, 20, 정상
바마, 161, 46, 18, 저체중
아카, 179, 75, 23, 정상
나다, 190, 78, 22, 정상
바하, 145, 68, 32, 비만
카가, 169, 44, 15, 저체중
다다, 181, 73, 22, 정상
바바, 140, 89, 45, 비만
하타, 182, 89, 27, 과체중
라라, 153, 86, 37, 비만
카차, 187, 96, 27, 과체중
바타, 197, 56, 14, 저체중
나라, 153, 61, 26, 과체중
카마, 150, 80, 36, 비만
자바, 191, 54, 15, 저체중
가다, 188, 54, 15, 저체중
파마, 194, 76, 20, 정상
파차, 172, 40, 14, 저체중
마차, 144, 97, 47, 비만
라하, 188, 94, 27, 과체중
하다, 144, 50, 24, 정상
하타, 165, 88, 32, 비만
라타, 170, 97, 34, 비만
마파, 198, 40, 10, 저체중
차가, 178, 45, 14, 저체중
사마, 143, 51, 25, 과체중
차라, 184, 68, 20, 정상
사자, 152, 60, 26, 과체중
사다, 153, 61, 26, 과체중
다나, 168, 71, 25, 과체중
카타, 176, 44, 14, 저체중
하파, 174, 99, 33, 비만
바나, 160, 80, 31, 비만
자가, 164, 65, 24, 정상
타하, 158, 72, 29, 과체중
파사, 180, 86, 27, 과체중
마카, 171, 68, 23, 정상
자카, 146, 72, 34, 비만
다타, 157, 70, 28, 과체중
하마, 182, 95, 29, 과체중
하다, 174, 80, 26, 과체중
마자, 161, 56, 22, 정상
나라, 165, 55, 20, 정상
아자, 179, 41, 13, 저체중
카아, 144, 57, 27, 과체중
다타, 168, 51, 18, 저체중
카바, 177, 53, 17, 저체중
나나, 156, 81, 33, 비만
라가, 170, 66, 23, 정상
나사, 186, 44, 13, 저체중
나카, 166, 58, 21, 정상
다아, 194, 43, 11, 저체중
카타, 172, 87, 29, 과체중
타차, 185, 71, 21, 정상
나자, 192, 75, 20, 정상
마나, 170, 64, 22, 정상
바마, 184, 87, 26, 과체중
차라, 186, 92, 27, 과체중
가자, 156, 66, 27, 과체중
자가, 169, 92, 32, 비만
다차, 151, 96, 42, 비만
라라, 187, 64, 18, 저체중
마다, 143, 91, 45, 비만
라라, 186, 62, 18, 저체중
카아, 192, 69, 19, 저체중
차사, 188, 78, 22, 정상
라라, 160, 70, 27, 과체중
바하, 173, 88, 29, 과체중
차가, 188, 80, 23, 정상
파아, 143, 60, 29, 과체중
파카, 184, 70, 21, 정상
카나, 177, 70, 22, 정상
자마, 176, 77, 25, 과체중
아하, 164, 56, 21, 정상
사아, 156, 90, 37, 비만
자타, 192, 80, 22, 정상
카사, 194, 70, 19, 저체중
다아, 163, 73, 27, 과체중
사자, 178, 62, 20, 정상
카바, 152, 42, 18, 저체중
아차, 146, 76, 36, 비만
다카, 189, 51, 14, 저체중
라파, 159, 75, 30, 비만
다가, 169, 79, 28, 과체중
카마, 170, 55, 19, 저체중
가사, 150, 57, 25, 과체중
바타, 181, 47, 14, 저체중
바아, 150, 68, 30, 비만
마카, 188, 99, 28, 과체중
바사, 145, 79, 38, 비만
다차, 196, 94, 24, 정상
사마, 153, 97, 41, 비만
라차, 151, 72, 32, 비만
파나, 196, 92, 24, 정상
자마, 192, 78, 21, 정상
라카, 149, 65, 29, 과체중
타자, 161, 92, 35, 비만
나사, 151, 51, 22, 정상
라하, 149, 71, 32, 비만
바가, 169, 46, 16, 저체중
카하, 172, 87, 29, 과체중
다다, 167, 91, 33, 비만
라바, 155, 61, 25, 과체중
하파, 189, 69, 19, 저체중
나아, 152, 45, 19, 저체중
