마자, 167, 44
타타, 191, 99
자바, 157, 86
타가, 178, 67
하사, 171, 40
하바, 198, 77
바나, 199, 93
마차, 177, 61
자마, 149, 65
카자, 158, 60
타타, 153, 92
타라, 189, 72
차바, 178, 92
아마, 171, 60
자바, 150, 46
나사, 180, 66
마파, 169, 75
자가, 159, 74
바차, 198, 68
마나, 189, 49
차타, 183, 79
아나, 173, 73
나아, 157, 42
자라, 154, 99
가하, 183, 64
아하, 162, 95
사차, 149, 44
나라, 173, 49
자아, 170, 80
사파, 150, 57
파타, 175, 55
타마, 189, 46
자라, 147, 74
바나, 169, 57
하자, 187, 70
다카, 192, 59
가나, 196, 94
하사, 176, 48
카카, 164, 54
아아, 186, 60
가하, 147, 60
하파, 169, 96
다자, 185, 86
라파, 181, 75
나마, 172, 83
차카, 149, 42
라아, 197, 43
자아, 172, 61
나하, 154, 55
바라, 164, 73
사라, 182, 71
나바, 140, 96
자마, 167, 88
마차, 183, 81
라타, 182, 83
타가, 182, 74
하나, 165, 86
가하, 187, 46
바자, 188, 56
파라, 168, 56
바라, 196, 70
자사, 180, 91
가라, 182, 65
자나, 198, 45
하차, 159, 86
차라, 187, 40
카자, 177, 63
자파, 160, 62
차마, 178, 93
가차, 196, 77
사파, 163, 42
가사, 165, 66
라카, 192, 72
파하, 153, 60
가카, 180, 64
나카, 181, 49
파타, 172, 53
사가, 193, 55
카하, 171, 88
자하, 165, 94
아마, 188, 45
자파, 179, 91
가마, 197, 50
카카, 154, 74
마나, 147, 48
차하, 143, 58
자카, 149, 51
차나, 178, 58
하마, 186, 56
아자, 187, 70
사카, 180, 65
다하, 171, 46
파마, 171, 62
파바, 174, 85
아타, 192, 97
카나, 199, 44
하타, 193, 56
하하, 156, 64
라나, 196, 76
나가, 178, 86
자카, 143, 86
다마, 147, 54
파바, 170, 66
카자, 159, 64
라자, 194, 41
바차, 155, 83
사자, 198, 94
사라, 166, 55
파가, 193, 76
자카, 187, 72
자바, 142, 75
바차, 185, 97
아카, 186, 75
차아, 189, 49
카자, 196, 63
타가, 142, 45
아하, 199, 71
라하, 145, 98
바사, 156, 60
카바, 146, 64
라가, 191, 82
하나, 170, 56
카아, 185, 56
파자, 157, 41
파다, 141, 68
차가, 158, 61
가마, 197, 48
파아, 182, 63
마아, 181, 94
다바, 145, 80
차하, 195, 48
마사, 166, 94
타바, 193, 49
자마, 158, 55
타가, 143, 69
자카, 168, 99
차다, 172, 51
파마, 166, 69
카타, 161, 74
자바, 143, 55
다라, 188, 60
다바, 170, 59
아라, 193, 65
파아, 165, 91
타나, 141, 44
차라, 190, 81
라바, 172, 69
마나, 193, 49
가바, 167, 87
아카, 177, 70
라카, 150, 41
하자, 165, 86
마하, 144, 44
자차, 163, 96
자자, 154, 50
차사, 177, 87
나차, 182, 57
타하, 195, 43
바바, 150, 69
나사, 194, 84
카타, 172, 78
타카, 178, 95
가하, 170, 57
아차, 164, 59
사파, 190, 84
가자, 187, 90
자라, 176, 97
마하, 185, 53
마사, 168, 87
자차, 140, 69
타가, 140, 96
바바, 192, 71
하하, 176, 47
타파, 144, 97
카아, 190, 75
아바, 164, 97
다카, 184, 99
바아, 167, 95
파사, 183, 48
나사, 199, 46
바나, 193, 63
파바, 170, 97
차타, 189, 61
라아, 168, 60
사타, 158, 97
카바, 186, 83
하파, 159, 52
차가, 168, 51
나카, 167, 99
다가, 159, 54
차가, 165, 70
자파, 164, 99
마가, 181, 92
자다, 150, 78
가타, 178, 72
자나, 193, 82
차가, 142, 48
나자, 172, 69
사타, 159, 86
하자, 163, 56
사자, 168, 66
하파, 192, 82
마가, 194, 50
바하, 150, 47
가라, 192, 44
타마, 150, 41
가라, 156, 78
아나, 197, 87
타마, 156, 94
바자, 198, 55
차하, 167, 91
마차, 182, 50
하카, 145, 56
나자, 163, 96
차가, 151, 85
아바, 181, 76
라가, 190, 94
자바, 171, 57
마나, 182, 96
자마, 191, 81
다카, 169, 48
자아, 143, 99
다사, 161, 48
파다, 190, 85
사마, 178, 80
바사, 156, 50
아하, 143, 51
나아, 167, 96
자아, 143, 48
가차, 163, 57
마라, 146, 70
타다, 140, 42
사하, 149, 51
타라, 155, 88
아나, 156, 56
사다, 160, 60
타바, 196, 59
마차, 191, 83
나바, 171, 85
자마, 195, 69
마아, 140, 83
마다, 143, 53
마차, 150, 68
바바, 153, 48
마마, 146, 76
하차, 158, 79
사마, 156, 50
자마, 188, 71
나바, 184, 58
카타, 196, 91
가사, 189, 66
카카, 171, 99
마파, 184, 72
자자, 185, 60
가바, 197, 41
라라, 178, 83
바카, 144, 74
나타, 197, 43
차다, 151, 56
사사, 151, 65
마사, 185, 70
하차, 196, 87
파마, 159, 72
하카, 162, 43
하타, 150, 88
바차, 147, 98
가자, 194, 83
카타, 192, 87
라다, 171, 61
자나, 192, 73
라아, 176, 67
차나, 144, 55
가파, 183, 93
나다, 175, 61
라파, 198, 76
바하, 176, 97
다라, 157, 76
자카, 159, 70
자사, 180, 74
바하, 150, 54
바카, 188, 56
바마, 166, 71
나다, 153, 54
자가, 143, 70
라사, 166, 90
카파, 170, 61
파자, 153, 48
차마, 150, 51
바아, 145, 42
바아, 163, 48
하파, 171, 98
사타, 174, 40
타마, 188, 85
타마, 146, 72
파아, 153, 96
파아, 164, 66
타타, 181, 91
파아, 199, 62
바다, 193, 59
타타, 158, 79
자자, 186, 52
나마, 172, 79
하마, 154, 65
자라, 149, 90
가차, 158, 49
타아, 147, 91
다다, 191, 75
사하, 180, 64
파나, 193, 40
가타, 150, 71
차하, 181, 70
라다, 159, 56
마다, 186, 86
다바, 189, 72
파타, 162, 62
가아, 152, 84
